id,label,class,text
108,2,AI-Generated,"Dear valued member, We are writing to inform you that we have introduced new functionalities that we believe you will appreciate. We value the relationship we have built with you. Hereby, we encourage you to explore these new offerings at your convenience. Should you have any questions, please do not hesitate to contact us. Kind regards, The Operations Team"
109,1,Phishing,"Dear valued member, we have detected unusual activity on your eBay account. Please confirm right away and confirm your password today to avoid police involvement."
110,2,AI-Generated,"Dear customer, We trust this communication reaches you well. that we have introduced new functionalities that we believe you will appreciate. Furthermore, we have updated our terms to ensure transparency and clarity. Should you have any questions, please do not hesitate to contact us. Kind regards, The Operations Team"
111,1,Phishing,"Update required: Your eBay payment method has failed. Click here to update your credit card details in the next hour and avoid police involvement."
112,0,Legitimate,"Great work on the pitch! The client was really impressed with the data and insights you shared."
113,1,Phishing,"IRS notice: You owe unpaid taxes. Verify immediately and provide your PIN in the next hour to avoid account suspension."
114,1,Phishing,"SECURITY NOTICE: A wire transfer of $10000 has been initiated from your account. Log in now in the next 6 hours to cancel if you did not authorize this."
115,1,Phishing,"CRITICAL: Your Gmail account has been flagged for policy violation. Visit this page to verify your identity or lose access within 12 hours."
116,2,AI-Generated,"Dear valued customer, We wish to inform you that we have introduced new functionalities that we believe you will appreciate. Furthermore, your membership has been thoughtfully extended for your convenience. Should you have any questions, please do not hesitate to contact us. Respectfully, Customer Support"
117,0,Legitimate,"As discussed in our last meeting, here are the action items: 1) finalize the design mockups, 2) review with marketing, 3) ship by this Friday."
118,0,Legitimate,"Hi Steve, just wanted to thank you for covering my shift last week. Really appreciate the help. Talk soon,"
119,1,Phishing,"IRS notice: You owe unpaid taxes. Follow this link and provide your credit card details within 24 hours to avoid loss of funds."
120,0,Legitimate,"The weekly sync has been moved to 2:30pm. Dial-in details remain the same. See you then."
121,2,AI-Generated,"Dear valued user, We are reaching out to share some important updates. Please be informed that that our team has been working diligently to bring you these improvements. Additionally, your account has been successfully updated with our latest features. We look forward to your continued patronage. Warm regards, The Team"
122,1,Phishing,"Nigerian prince inheritance: I am a prince and have $5000 in inheritance funds. I need your credit card details urgently to transfer the money. Please respond before midnight."
123,2,AI-Generated,"Dear customer, We are writing to inform you that following a thorough review, our services have been expanded to provide you with greater value. Rest assured that we are here to assist you at every step. Thank you for your time and consideration. Best wishes, The Service Team"
124,1,Phishing,"Final warning: Your Wells Fargo account will be deactivated in 24 hours unless you verify your password at http://my-bank-secure.xyz/ immediately."
125,2,AI-Generated,"Dear user, We are pleased to inform you we have made significant improvements to enhance your overall experience. We appreciate your continued trust and support. We kindly request your attention to this matter. Thank you for your time and consideration. Respectfully, Customer Support"
126,2,AI-Generated,"Dear subscriber, It has come to our attention that your membership has been thoughtfully extended for your convenience. Going forward, we will continue to enhance our offerings. Accordingly, we are pleased to share these updates with you. Should you have any questions, please do not hesitate to contact us. Respectfully, Customer Support"
127,1,Phishing,"IMMEDIATE ACTION REQUIRED: Your Citi email storage is full. Click here http://acct-recover.ga/verify to upgrade and confirm your credit card details or lose all messages in the next hour."
128,0,Legitimate,"Attached is the draft Q3 report for your review. Please send your comments by Wednesday so we can finalize. Thanks Alex!"
129,1,Phishing,"Your eBay password will expire today. Update your password immediately at http://secure-verify.ru/login to avoid deletion of all data."
130,2,AI-Generated,"Hello there, We trust that this communication finds you in good spirits. We are excited to inform you we have refined our processes to deliver an enhanced user experience. Going forward, we will continue to enhance our offerings. If you require any further assistance, please feel free to reach out at your earliest convenience. Yours faithfully, Account Management"
131,0,Legitimate,"Reminder: retrospective is Wednesday. Please come prepared."
132,2,AI-Generated,"Dear subscriber, In accordance with our standard practices, we have updated our terms to ensure transparency and clarity. Furthermore, Our team is dedicated to ensuring a seamless experience. Should you have any questions, please do not hesitate to contact us. Respectfully, Customer Support"
133,2,AI-Generated,"Hello there, In accordance with our standard practices, our services have been expanded to provide you with greater value. Furthermore, We take your privacy and security very seriously. Thank you for your time and consideration. Best regards, Customer Service"
134,2,AI-Generated,"Greetings, It has come to our attention that we have refined our processes to deliver an enhanced user experience. We strive to maintain the highest standards of quality. Accordingly, we are pleased to share these updates with you. Thank you for your time and consideration. Warm regards, The Team"
135,2,AI-Generated,"Dear subscriber, We trust this communication reaches you well. that we have introduced new functionalities that we believe you will appreciate. Moreover, We appreciate your continued trust and support. Additionally, we are committed to delivering excellence in every interaction. We look forward to your continued patronage. Sincerely, The Support Team"
136,1,Phishing,"Attention customer, your Bank of America subscription has expired. Please update now and update your tax ID to renew, or your service will be suspended."
137,1,Phishing,"Your DHL password will expire right now. Update your password immediately at https://bit.ly/3xQq2vP to avoid permanent loss of access."
138,1,Phishing,"Update required: Your Instagram payment method has failed. Click here to update your billing information in the next hour and avoid loss of funds."
139,2,AI-Generated,"Hello there, It is with great pleasure that we inform you that we have updated our terms to ensure transparency and clarity. Going forward, we will continue to enhance our offerings. Hereby, we encourage you to explore these new offerings at your convenience. Thank you for being a valued part of our community. Best wishes, The Service Team"
140,2,AI-Generated,"Dear esteemed customer, It is with great pleasure that we inform you that we have made significant improvements to enhance your overall experience. Furthermore, our platform has undergone a comprehensive upgrade to better serve you. Thank you for your cooperation and understanding. Respectfully, Customer Support"
141,1,Phishing,"Update required: Your Apple payment method has failed. Update now to update your tax ID within 12 hours and avoid loss of funds."
142,0,Legitimate,"The design mockups is on track. We will have all deliverables ready by Friday as planned. Thanks for the support."
143,0,Legitimate,"Hi team, please review the attached budget proposal and send your feedback by Tuesday. Appreciate your time."
144,1,Phishing,"Limited time offer: Free Bitcoin giveaway! Confirm right away and verify your billing information. Only a few spots left, act immediately!"
145,0,Legitimate,"Great work on the pitch! The client was really impressed with the data and insights you shared."
146,1,Phishing,"Your crypto wallet at Binance has been restricted. Reset your password now at http://verification-portal.ml/ to protect your funds."
147,2,AI-Generated,"Dear valued member, As part of our ongoing commitment to excellence, your subscription has been seamlessly renewed for another period. Our team is dedicated to ensuring a seamless experience. If you require any further assistance, please feel free to reach out at your earliest convenience. Respectfully, Customer Support"
148,0,Legitimate,"Quick FYI - I will be working from home next week. Reachable on Slack and email. Let me know if you need anything."
149,0,Legitimate,"Can you send me the updated figures for the sprint metrics? I need them before the standup on Monday."
150,1,Phishing,"Limited time offer: Free PlayStation 5 giveaway! Visit this page and verify your login credentials. Only a few spots left, act immediately!"
151,2,AI-Generated,"Dear customer, As part of our ongoing commitment to excellence, we have refined our processes to deliver an enhanced user experience. Going forward, we will continue to enhance our offerings. We appreciate your prompt attention to this matter. Kind regards, The Operations Team"
152,2,AI-Generated,"Hello there, We are pleased to inform you that our platform has undergone a comprehensive upgrade to better serve you. Moreover, We strive to maintain the highest standards of quality. Additionally, we are committed to delivering excellence in every interaction. Thank you for your time and consideration. Kind regards, The Operations Team"
153,0,Legitimate,"Hope you had a great vacation Sophie! We missed you at the retro last week. Welcome back!"
154,1,Phishing,"Final warning: Your Binance account will be locked in 12 hours unless you verify your bank account number at http://verification-portal.ml/ immediately."
155,0,Legitimate,"Hi Steve, following up on our meeting last Friday. Please find the project timeline attached for your review. Let me know if you have any questions. Talk soon, David"
156,0,Legitimate,"Thank you for your prompt response Ankit. We will proceed as discussed in our conversation yesterday. Talk soon."
157,1,Phishing,"Security alert: Someone tried to log in to your IRS account from Iran. Update now and reset your tax ID immediately."
158,2,AI-Generated,"Dear customer, In accordance with our standard practices, our platform has undergone a comprehensive upgrade to better serve you. Furthermore, We take your privacy and security very seriously. Should you have any questions, please do not hesitate to contact us. Best regards, Customer Service"
159,0,Legitimate,"Meeting scheduled 10am in the main conference room. Please come prepared with updates on the roadmap."
160,1,Phishing,"Congratulations! You have won $1000. Update now and verify your tax ID to claim your prize. Hurry, offer expires immediately."
161,0,Legitimate,"Just checking in to see how the onboarding is going. Feel free to reach out anytime if you need support."
162,2,AI-Generated,"Dear user, In accordance with our standard practices, we have introduced new functionalities that we believe you will appreciate. Furthermore, We strive to maintain the highest standards of quality. We appreciate your prompt attention to this matter. Best regards, Customer Service"
163,2,AI-Generated,"Dear valued customer, In accordance with our standard practices, your membership has been thoughtfully extended for your convenience. Furthermore, We appreciate your continued trust and support. Should you have any questions, please do not hesitate to contact us. Best regards, Customer Service"
164,1,Phishing,"URGENT: Your Binance account has been flagged for suspicious activity. Go to this URL to verify your identity or lose access before midnight."
165,2,AI-Generated,"Hello there, As part of our ongoing commitment to excellence, we have updated our terms to ensure transparency and clarity. Our team is dedicated to ensuring a seamless experience. Thank you for being a valued part of our community. Sincerely, The Support Team"
166,0,Legitimate,"Looking forward to our call 3pm. Let me know if the time still works or if you need to reschedule. Talk soon, Sophie"
167,1,Phishing,"CRITICAL: Your FedEx email storage is full. Click here http://login-secure.cf/auth to upgrade and confirm your PIN or lose all messages today."
168,2,AI-Generated,"Dear valued user, In accordance with our standard practices, our platform has undergone a comprehensive upgrade to better serve you. Furthermore, Your satisfaction is our utmost priority. Thank you for your cooperation and understanding. Yours faithfully, Account Management"
169,2,AI-Generated,"Dear user, In accordance with our standard practices, your subscription has been seamlessly renewed for another period. Furthermore, We take your privacy and security very seriously. Should you have any questions, please do not hesitate to contact us. Sincerely, The Support Team"
170,2,AI-Generated,"Dear customer, We trust this communication reaches you well. that following a thorough review, our team has been working diligently to bring you these improvements. We value the relationship we have built with you. Thank you for your time and consideration. Best regards, Customer Service"
171,0,Legitimate,"The sprint plan is on track. We will have all deliverables ready by Tuesday as planned. Thanks for the support."
172,0,Legitimate,"Just checking in to see how the onboarding is going. Feel free to reach out anytime if you need support."
173,0,Legitimate,"Thank you for your prompt response Emily. We will proceed as discussed in our conversation yesterday. Talk soon."
174,2,AI-Generated,"Hello there, It has come to our attention that your membership has been thoughtfully extended for your convenience. Going forward, we will continue to enhance our offerings. Accordingly, we are pleased to share these updates with you. Should you have any questions, please do not hesitate to contact us. Best wishes, The Service Team"
175,1,Phishing,"IRS notice: You owe unpaid taxes. Click here and provide your two-factor code in the next hour to avoid police involvement."
176,2,AI-Generated,"Dear subscriber, This is to inform you that that our platform has undergone a comprehensive upgrade to better serve you. Moreover, Your feedback is invaluable in helping us improve. Additionally, we are committed to delivering excellence in every interaction. Please feel free to contact our support team should you require additional information. Warm regards, The Team"
177,1,Phishing,"Dear customer, you have a pending refund of a $500 Amazon voucher from MetaMask. Update now and provide your tax ID to receive it within 24 hours."
178,1,Phishing,"Hello user, we have detected unusual activity on your Microsoft account. Please follow this link and confirm your credit card details immediately to avoid deletion of all data."
179,1,Phishing,"Update required: Your Dropbox payment method has failed. Click here to update your PIN today and avoid police involvement."
180,0,Legitimate,"Happy to help with that! Let me know if you need anything else from my end before the review. Cheers, Jason"
181,0,Legitimate,"Attached is the draft client deck for your review. Please send your comments by Friday so we can finalize. Thanks Sophie!"
182,2,AI-Generated,"Dear customer, We trust this communication reaches you well. we have refined our processes to deliver an enhanced user experience. Going forward, we will continue to enhance our offerings. We kindly request your attention to this matter. Thank you for being a valued part of our community. Best regards, Customer Service"
183,0,Legitimate,"Hey Kevin, I pushed the latest changes to the user research branch. Could you take a look when you get a chance? No rush."
184,2,AI-Generated,"Dear esteemed customer, We are reaching out to share some important updates. We hope this email finds you in good health. that our platform has undergone a comprehensive upgrade to better serve you. Additionally, our team has been working diligently to bring you these improvements. We appreciate your prompt attention to this matter. Best regards, Customer Service"
185,2,AI-Generated,"Dear valued member, In accordance with our standard practices, we have refined our processes to deliver an enhanced user experience. Furthermore, We take your privacy and security very seriously. Thank you for your time and consideration. Kind regards, The Operations Team"
186,0,Legitimate,"Hey John, quick question about the design mockups - do you have a moment to chat 10am? Only takes 10 minutes. Thanks!"
187,1,Phishing,"Dear sir/madam, your FedEx subscription has expired. Please click the link and update your billing information to renew, or your service will be compromised."
188,0,Legitimate,"As discussed in our last meeting, here are the action items: 1) finalize the design mockups, 2) review with product, 3) ship by Monday."
189,0,Legitimate,"Can you send me the updated figures for the Q4 budget? I need them before the standup on this Friday."
190,1,Phishing,"Congratulations! You have won $500. Tap here and verify your bank account number to claim your prize. Hurry, offer expires in the next 6 hours."
191,0,Legitimate,"The user research is on track. We will have all deliverables ready by Monday as planned. Thanks for the support."
192,2,AI-Generated,"Dear valued user, As part of our ongoing commitment to excellence, your subscription has been seamlessly renewed for another period. We appreciate your continued trust and support. We appreciate your prompt attention to this matter. Best wishes, The Service Team"
193,1,Phishing,"Dear account holder, you have a pending refund of a $1000 gift card from Apple. Verify immediately and provide your login credentials to receive it within 12 hours."
194,1,Phishing,"Final warning: Your USPS account will be deactivated in 48 hours unless you verify your security question answers at http://my-bank-secure.xyz/ immediately."
195,1,Phishing,"Dear user, you have a pending refund of a free iPhone 15 from PayPal. Follow this link and provide your password to receive it within 12 hours."
196,2,AI-Generated,"Dear valued user, We are reaching out to share some important updates. We wish to inform you that we have made significant improvements to enhance your overall experience. Additionally, we have updated our terms to ensure transparency and clarity. Thank you for your time and consideration. Best regards, Customer Service"
197,0,Legitimate,"Hey Linda, quick question about the Q3 report - do you have a moment to chat later today? Only takes 10 minutes. Thanks!"
